id,title,content,category,author,publish_date,views,likes
1,"Getting Started with DuckDB","DuckDB is an in-process SQL OLAP database management system. It is designed to support analytical query workloads, also known as OLAP. DuckDB has no external dependencies and can run entirely in-memory or persist data to disk. This makes it perfect for data science and analytics workflows.","tutorial","John Smith",2024-01-15,15234,342
2,"Why DuckDB is Perfect for Data Science","Data scientists often need to process large datasets quickly. Traditional databases require complex setup and maintenance. DuckDB solves this problem by being embedded directly in your Python or R environment. No server needed! Just import and start querying.","opinion","Sarah Johnson",2024-01-18,8921,189
3,"DuckDB vs SQLite: A Comparison","While SQLite is optimized for transactional workloads (OLTP), DuckDB is designed for analytical workloads (OLAP). This means DuckDB uses columnar storage and vectorized execution, making it much faster for aggregations and analytical queries. Choose SQLite for apps, DuckDB for analytics!","comparison","Mike Chen",2024-01-20,22456,567
4,"Advanced Window Functions in SQL","Window functions are powerful tools for analytics. They allow you to perform calculations across rows related to the current row. Common functions include ROW_NUMBER(), RANK(), DENSE_RANK(), LAG(), LEAD(), and various aggregates with OVER clause. DuckDB supports all standard window functions.","tutorial","Emily Brown",2024-01-22,12890,298
5,"Loading Parquet Files Made Easy","Parquet is a columnar storage format popular in big data. DuckDB can read Parquet files directly without any additional setup. Simply use SELECT * FROM 'file.parquet' and you're done! DuckDB also supports reading from S3 with the httpfs extension.","tutorial","David Wilson",2024-01-25,9876,234
6,"Error: Connection refused when starting DuckDB","I keep getting an error when trying to connect to DuckDB. The error message says 'Connection refused'. I've tried reinstalling but the problem persists. Any help would be appreciated! Update: Fixed it by removing old database files.","question","NewUser123",2024-01-26,3421,12
7,"MotherDuck: DuckDB in the Cloud","MotherDuck brings DuckDB to the cloud, enabling collaborative analytics. You can share databases, run queries in the cloud, and seamlessly switch between local and cloud execution. It's like having the best of both worlds - simplicity of DuckDB with cloud scalability.","news","Tech Reporter",2024-01-28,18234,423
8,"Performance Tuning Tips for DuckDB","Here are some tips to optimize your DuckDB queries: 1) Use appropriate data types 2) Leverage predicate pushdown 3) Consider partitioning for large datasets 4) Use EXPLAIN ANALYZE to understand query plans 5) Increase memory limit for large aggregations.","tutorial","Performance Pete",2024-01-30,7654,178
9,"My First Week with DuckDB - A Review","I've been using DuckDB for a week now and I'm impressed! The zero-configuration setup is amazing. I was able to replace complex Spark jobs with simple SQL queries. The pandas integration is seamless. Highly recommended for anyone doing data analysis!","review","DataNewbie",2024-02-01,5432,98
10,"Upcoming Features in DuckDB 1.0","The DuckDB team has announced exciting features for version 1.0: improved JSON support, better geospatial functions, enhanced parallel execution, and more SQL dialect compatibility. The release is expected in early 2024. Stay tuned for updates!","news","DuckDB Fan",2024-02-03,11234,312
11,"Bug Report: Memory leak in large joins","Noticed a memory leak when performing large joins with more than 10 million rows. Memory usage keeps growing even after query completion. Version 0.9.2 on Ubuntu. Will create GitHub issue. Anyone else experiencing this?","bug","Developer Dan",2024-02-05,2345,45
12,"DuckDB Extension Ecosystem","DuckDB has a growing ecosystem of extensions: httpfs for remote files, spatial for GIS, json for JSON processing, parquet for columnar storage, and many more. Extensions can be installed with INSTALL extension_name and loaded with LOAD extension_name.","tutorial","Extension Expert",2024-02-07,8765,201
13,"Migrating from PostgreSQL to DuckDB","Successfully migrated our analytics pipeline from PostgreSQL to DuckDB. Query times dropped from minutes to seconds! The syntax is very similar, making migration straightforward. Main differences: no VACUUM needed, different extension system, embedded nature.","case-study","DB Migrator",2024-02-10,14567,389
14,"DuckDB for Machine Learning Pipelines","DuckDB integrates well with ML workflows. You can preprocess data with SQL, export to pandas or polars, train models, and store results back. The speed of DuckDB makes feature engineering much faster than traditional approaches.","tutorial","ML Engineer",2024-02-12,9876,267
15,"Common DuckDB Mistakes to Avoid","Here are mistakes I see beginners make: 1) Not closing connections 2) Using wrong data types 3) Ignoring EXPLAIN 4) Not using parameterized queries 5) Forgetting to load extensions 6) Running analytical queries on OLTP databases instead of DuckDB.","tutorial","Best Practices",2024-02-15,6543,156
