date,temperature,humidity,wind_speed,precipitation,city
2024-01-01,5.2,78,12.3,2.1,Berlin
2024-01-02,4.8,82,15.1,5.4,Berlin
2024-01-03,3.1,85,18.7,8.2,Berlin
2024-01-04,2.5,79,14.2,1.3,Berlin
2024-01-05,1.8,71,9.8,0.0,Berlin
2024-01-06,0.5,68,7.5,0.0,Berlin
2024-01-07,-1.2,65,5.2,0.0,Berlin
2024-01-08,-2.8,62,4.1,0.0,Berlin
2024-01-09,-1.5,70,8.3,1.5,Berlin
2024-01-10,0.8,75,11.2,3.2,Berlin
2024-01-11,2.3,80,14.5,6.8,Berlin
2024-01-12,3.5,77,12.1,2.4,Berlin
2024-01-13,4.1,73,9.8,0.5,Berlin
2024-01-14,5.8,69,7.2,0.0,Berlin
2024-01-15,6.2,66,5.5,0.0,Berlin
2024-01-16,4.5,72,10.3,1.8,Berlin
2024-01-17,3.2,78,13.7,4.5,Berlin
2024-01-18,2.1,82,16.2,7.3,Berlin
2024-01-19,1.5,85,18.9,9.1,Berlin
2024-01-20,0.8,81,15.4,5.6,Berlin
2024-01-21,-0.5,76,12.1,2.3,Berlin
2024-01-22,-1.8,72,9.5,0.8,Berlin
2024-01-23,-2.5,68,6.8,0.0,Berlin
2024-01-24,-1.2,71,8.2,0.5,Berlin
2024-01-25,0.5,75,10.5,2.1,Berlin
2024-01-26,2.1,79,13.2,4.8,Berlin
2024-01-27,3.8,76,11.5,2.5,Berlin
2024-01-28,5.2,72,8.9,0.3,Berlin
2024-01-29,6.5,68,6.2,0.0,Berlin
2024-01-30,7.1,65,4.5,0.0,Berlin
2024-01-31,5.8,70,7.8,1.2,Berlin
2024-01-01,12.5,65,8.2,0.5,London
2024-01-02,11.8,72,12.5,3.2,London
2024-01-03,10.2,78,15.8,6.5,London
2024-01-04,9.5,82,18.2,9.8,London
2024-01-05,8.8,79,14.5,5.2,London
2024-01-06,9.2,75,11.2,2.8,London
2024-01-07,10.5,71,8.5,0.8,London
2024-01-08,11.2,68,6.2,0.0,London
2024-01-09,10.8,72,9.5,1.5,London
2024-01-10,9.5,76,12.8,4.2,London
2024-01-11,8.2,80,15.5,7.5,London
2024-01-12,7.8,83,17.2,10.2,London
2024-01-13,8.5,79,14.8,6.8,London
2024-01-14,9.8,75,11.5,3.5,London
2024-01-15,11.2,71,8.2,1.2,London
2024-01-16,12.5,68,5.8,0.0,London
2024-01-17,11.8,72,8.5,0.5,London
2024-01-18,10.5,76,11.2,2.8,London
2024-01-19,9.2,80,14.5,5.5,London
2024-01-20,8.5,83,16.8,8.2,London
2024-01-21,9.1,79,13.5,4.8,London
2024-01-22,10.2,75,10.2,2.2,London
2024-01-23,11.5,71,7.5,0.5,London
2024-01-24,12.1,68,5.2,0.0,London
2024-01-25,11.5,72,8.8,1.8,London
2024-01-26,10.2,76,12.2,4.5,London
2024-01-27,9.5,79,14.8,6.8,London
2024-01-28,10.1,75,11.5,3.2,London
2024-01-29,11.2,71,8.2,1.0,London
2024-01-30,12.5,68,5.5,0.0,London
2024-01-31,11.8,72,7.8,0.8,London
2024-01-01,-5.2,55,5.2,0.0,Munich
2024-01-02,-6.5,52,3.8,0.0,Munich
2024-01-03,-4.8,58,6.5,1.2,Munich
2024-01-04,-3.2,62,8.2,2.5,Munich
2024-01-05,-2.1,65,10.5,4.8,Munich
2024-01-06,-1.5,68,12.2,6.2,Munich
2024-01-07,-0.8,71,9.8,3.5,Munich
2024-01-08,0.5,67,7.2,1.2,Munich
2024-01-09,1.2,63,5.5,0.0,Munich
2024-01-10,0.8,60,4.2,0.0,Munich
2024-01-11,-0.5,64,6.8,0.5,Munich
2024-01-12,-1.8,68,9.5,2.8,Munich
2024-01-13,-2.5,72,11.8,5.2,Munich
2024-01-14,-1.2,69,8.5,2.1,Munich
2024-01-15,0.2,65,6.2,0.5,Munich
2024-01-16,1.5,61,4.5,0.0,Munich
2024-01-17,2.2,58,3.2,0.0,Munich
2024-01-18,1.8,62,5.8,0.8,Munich
2024-01-19,0.5,66,8.2,2.5,Munich
2024-01-20,-0.8,70,10.5,4.2,Munich
2024-01-21,-1.5,73,12.2,6.5,Munich
2024-01-22,-0.2,69,9.2,3.2,Munich
2024-01-23,1.2,65,6.8,1.2,Munich
2024-01-24,2.5,61,4.5,0.0,Munich
2024-01-25,3.1,58,3.2,0.0,Munich
2024-01-26,2.5,62,5.5,0.5,Munich
2024-01-27,1.2,66,7.8,1.8,Munich
2024-01-28,0.5,70,10.2,3.5,Munich
2024-01-29,1.8,67,7.5,1.5,Munich
2024-01-30,3.2,63,5.2,0.0,Munich
2024-01-31,4.1,60,3.8,0.0,Munich
